analysis_population,event_mapping,locked_correlate,term,adjusted_or,ci_low,ci_high,beta,cluster_robust_se,z_value,p_value,bh_q_value
post_implementation,frozen_primary,OASIS per SD,oasis_z,0.95476414783178,0.935644611550449,0.974274384452856,-0.0462909346236106,0.0103209184734557,-4.48515650449774,7.28604352290275e-06,7.28604352290275e-06
post_implementation,frozen_primary,Night versus day shift,shiftnight_1900_0659,0.765702073164313,0.747256755032888,0.784602696328014,-0.266962123325504,0.012441205485982,-21.4578984027152,3.8533127747710696e-102,1.92665638738554e-101
post_implementation,frozen_primary,Active invasive ventilation,invasive_ventilation_active,0.777166193136444,0.747304052697397,0.80822161953237,-0.252101060705367,0.0199912266472927,-12.6105848907229,1.8461778829812298e-36,4.6154447074530794e-36
post_implementation,frozen_primary,Active vasopressor,vasopressor_active,1.22613105951221,1.17399854872128,1.28057856352382,0.203863731892141,0.0221678801307647,9.19635665158699,3.7029206442927603e-20,6.17153440715461e-20
post_implementation,frozen_primary,Active RRT,rrt_active,0.68635353531137,0.624419335124631,0.754430795036786,-0.376362426410621,0.0482512429967778,-7.80005660031918,6.187941508908121e-15,7.73492688613514e-15
post_implementation,audit_semantic_sensitivity,OASIS per SD,oasis_z,0.992987328419915,0.968026137587461,1.01859215998022,-0.0070373759248152,0.0129894297579747,-0.541777126166352,0.587972050760056,0.587972050760056
post_implementation,audit_semantic_sensitivity,Night versus day shift,shiftnight_1900_0659,0.954234051213079,0.939770744594846,0.968919951734705,-0.0468463009226365,0.0077925009798662,-6.0117157564272,1.8356998534090402e-09,3.0594997556817303e-09
post_implementation,audit_semantic_sensitivity,Active invasive ventilation,invasive_ventilation_active,0.803238088764729,0.769960345069697,0.837954099030919,-0.219104109898198,0.021588231113231,-10.1492386638345,3.3395846271439704e-24,1.6697923135719902e-23
post_implementation,audit_semantic_sensitivity,Active vasopressor,vasopressor_active,1.06895644591899,1.02081491109273,1.11936833098236,0.0666828883868855,0.0235114767347697,2.83618460631494,0.0045656047450895,0.0057070059313619
post_implementation,audit_semantic_sensitivity,Active RRT,rrt_active,0.721593955335049,0.652864022071485,0.797559397933966,-0.326292687021789,0.0510691629451614,-6.38923115642537,1.66721872508629e-10,4.16804681271572e-10
