domain	gate	expected	actual	tolerance	status
count	post_deployment_order_units	264171	264171	0	PASS
count	strict_same_poe_converted	170890	170890	0	PASS
count	broad_same_class_window_converted	227355	227355	0	PASS
count	a1_order_exposed	7047	7047	0	PASS
count	a2_original_order_exposed	655	655	0	PASS
count	a2_hospital_order_exposed	776	776	0	PASS
count	a2_strict_admin_exposed	518	518	0	PASS
six_class	electrolyte_replacement	orders/strict/broad	113854/57408/92717	0	PASS
six_class	insulin	orders/strict/broad	56081/38758/49598	0	PASS
six_class	intra_abdominal_antibiotics	orders/strict/broad	49119/40705/46479	0	PASS
six_class	prokinetic	orders/strict/broad	2329/1855/1986	0	PASS
six_class	stress_ulcer_prophylaxis	orders/strict/broad	24655/18730/21501	0	PASS
six_class	vte_prophylaxis	orders/strict/broad	18133/13434/15074	0	PASS
anchor_crossclassification	all_A1_A2_cells	25	25	0	PASS
continuous	common_original_model_beta	0.0	0.0	1e-10	PASS
P2_trace	p2_primary_units	183	183	0	PASS
P2_trace	p2_prescription_poe_minus_administration_median_h	97.18333333333334	97.18333333333334	1e-10	PASS
P2_trace	p2_emar_poe_minus_administration_median_h	-5.683333333333334	-5.683333333333334	1e-10	PASS
P2_trace	p2_poe_role_separation_median_h	106.1	106.1	1e-10	PASS
