analysis_population,event_mapping,term,beta,cluster_robust_se,z_value,p_value,adjusted_or,ci_low,ci_high
all_periods_corrected_era,frozen_primary,(Intercept),-0.974402494197901,0.642173806300739,-1.51735010777063,0.129178313408127,0.377417795527652,0.107202037246345,1.32874519962362
all_periods_corrected_era,frozen_primary,oasis_z,-0.0439540307465069,0.0090643560630823,-4.84910681361303,1.24018630816753e-06,0.956997948943219,0.940146239226504,0.974151718178472
all_periods_corrected_era,frozen_primary,oasis_missing_components_n,0.0949261239416426,0.031564210178881,3.00739741003106,0.0026349504538111,1.09957761966506,1.03361401027875,1.16975092214764
all_periods_corrected_era,frozen_primary,shiftnight_1900_0659,-0.217603056019078,0.0107692925082596,-20.2058822204138,8.69028471647726e-91,0.80444469777974,0.787642886572718,0.821604921237604
all_periods_corrected_era,frozen_primary,invasive_ventilation_active,-0.223080288767395,0.0177233790988347,-12.5867808572724,2.4964838409569e-36,0.800050611638346,0.772736264092441,0.828330454938141
all_periods_corrected_era,frozen_primary,vasopressor_active,0.200064993550243,0.0186873985351336,10.7058771810377,9.55216641320018e-27,1.22148214404146,1.17755277502315,1.26705032662573
all_periods_corrected_era,frozen_primary,rrt_active,-0.340548144915003,0.0445318909561033,-7.64728686798173,2.05264066511525e-14,0.711380276390272,0.651922853210883,0.776260404347874
all_periods_corrected_era,frozen_primary,drug_classinsulin,1.45056834718733,0.0283192160555053,51.2220516395735,0,4.26553813297572,4.03523162342004,4.50898913912878
all_periods_corrected_era,frozen_primary,drug_classintra_abdominal_antibiotics,-0.276152825108877,0.0317501231115426,-8.69769304952657,3.386992203452e-18,0.758696973953262,0.712922954285485,0.807409966007819
all_periods_corrected_era,frozen_primary,drug_classprokinetic,0.731802169712804,0.0665653423820295,10.9937415406484,4.09587031690513e-28,2.07882362686175,1.82455568300436,2.36852605368709
all_periods_corrected_era,frozen_primary,drug_classstress_ulcer_prophylaxis,0.401995047173921,0.0301545889246723,13.3311400191236,1.52548561966567e-40,1.49480392915382,1.40901818466629,1.58581259697718
all_periods_corrected_era,frozen_primary,drug_classvte_prophylaxis,0.346816991898065,0.036789256308891,9.4271270119219,4.2147501522872e-21,1.41455782613798,1.31615074539388,1.5203226913718
all_periods_corrected_era,frozen_primary,age_at_icu,-0.00239884916946488,0.000664814092956664,-3.60830071877139,0.000308209122486008,0.997604025769896,0.996304982591703,0.998904762719784
all_periods_corrected_era,frozen_primary,genderM,-0.067028741835281,0.0166611963834394,-4.02304494183294,5.74505284920121e-05,0.93516832249662,0.905123313379863,0.966210657126356
all_periods_corrected_era,frozen_primary,emergency_admission,-0.0252955853012873,0.0169569345592606,-1.49175461006144,0.135763487056608,0.97502166735668,0.943149411347035,1.00797099629976
all_periods_corrected_era,frozen_primary,first_careunitCoronary Care Unit (CCU),0.00178045763612482,0.0291357065507629,0.0611091285197681,0.9512722992323,1.00178204359192,0.946178084291432,1.06065367558662
all_periods_corrected_era,frozen_primary,first_careunitIntensive Care Unit (ICU),-0.0875663394485025,0.186051004374061,-0.47065770885304,0.637885189702203,0.916158092212284,0.636214437041918,1.31928104905729
all_periods_corrected_era,frozen_primary,first_careunitMedical Intensive Care Unit (MICU),-0.177814638241189,0.0269570179269879,-6.59622806657596,4.21749984291821e-11,0.837097574987543,0.79401778200881,0.882514681569499
all_periods_corrected_era,frozen_primary,first_careunitMedical/Surgical Intensive Care Unit (MICU/SICU),-0.127887607735977,0.0310224835769903,-4.12241680839611,3.74918028683928e-05,0.879952273415306,0.828042698029585,0.935116033667505
all_periods_corrected_era,frozen_primary,first_careunitMedicine,-0.95552744889455,0.110558926078351,-8.64269835813514,5.49007254570146e-18,0.384609229331134,0.309679012288116,0.477669630220418
all_periods_corrected_era,frozen_primary,first_careunitMedicine/Cardiology Intermediate,-0.16222871569134,0.0324570267985193,-4.998261753869,5.78494235851234e-07,0.850246717534155,0.797843098518851,0.906092290601577
all_periods_corrected_era,frozen_primary,first_careunitNeuro Intermediate,-0.313930290669075,0.0328532695955287,-9.55552657418915,1.22957028001253e-21,0.730569953927086,0.685010223611705,0.779159841975684
all_periods_corrected_era,frozen_primary,first_careunitNeuro Stepdown,-0.0195745354583051,0.0631666847784012,-0.30988701602713,0.756646876828753,0.980615801816466,0.866425663710025,1.1098555722075
all_periods_corrected_era,frozen_primary,first_careunitNeuro Surgical Intensive Care Unit (Neuro SICU),-0.160256065976361,0.0445866492861763,-3.59426125403073,0.00032531328962928,0.851925611869948,0.780637572327368,0.929723694948702
all_periods_corrected_era,frozen_primary,first_careunitNeurology,-1.42308071147249,0.0277714449726721,-51.242587948623,0,0.240970511602802,0.228204814645562,0.254450317151736
