representation,relative_path,expected_sha256,observed_sha256,integrity_pass
native,hosp/prescriptions.csv.gz,33c392ba5b9299b08eca0a61911ba106f0aebdba26ed31b856bb9ffd49fe3654,33c392ba5b9299b08eca0a61911ba106f0aebdba26ed31b856bb9ffd49fe3654,True
native,hosp/pharmacy.csv.gz,3403865a279464b14d038a66b30ba3d609933f517262ea0402fef020046bd197,3403865a279464b14d038a66b30ba3d609933f517262ea0402fef020046bd197,True
native,hosp/emar.csv.gz,f14a4b5597abcc2e8d62d291c7839347ef6260d4c548ea534ab62df6b2f49adc,f14a4b5597abcc2e8d62d291c7839347ef6260d4c548ea534ab62df6b2f49adc,True
native,hosp/emar_detail.csv.gz,8ca5a09f2fa2e0ad5d77121fd62bf5f58bad056713223d9758b4ecd03fa0a435,8ca5a09f2fa2e0ad5d77121fd62bf5f58bad056713223d9758b4ecd03fa0a435,True
native,hosp/poe.csv.gz,bf850e1519f2c3df8c706dc5e2afcb83e86e1d6e4afd7c01426b6b07d25cfeef,bf850e1519f2c3df8c706dc5e2afcb83e86e1d6e4afd7c01426b6b07d25cfeef,True
native,hosp/admissions.csv.gz,910b9f160ffdf1e08ea673585393f347c773ccc87d66875c627584a903ae8493,910b9f160ffdf1e08ea673585393f347c773ccc87d66875c627584a903ae8493,True
native,hosp/patients.csv.gz,59dcc6cd8450ddf03ad32cc7d76e41caa4c9633541715987f590c74835cf6fae,59dcc6cd8450ddf03ad32cc7d76e41caa4c9633541715987f590c74835cf6fae,True
native,icu/icustays.csv.gz,e05e81aa52a3022e522b6832a898101a69b84e64c17bb344d819e458d5bc21b3,e05e81aa52a3022e522b6832a898101a69b84e64c17bb344d819e458d5bc21b3,True
fhir,fhir/MimicMedication.ndjson.gz,dd9373fb1fd55d66696f23753225f7b442de849cdd4c10f87a51804f14148d6a,dd9373fb1fd55d66696f23753225f7b442de849cdd4c10f87a51804f14148d6a,True
fhir,fhir/MimicMedicationRequest.ndjson.gz,3f446cd92a820dff3623c674f4d1f13ea6cc7f3c157f3584e9c17d8502f33456,3f446cd92a820dff3623c674f4d1f13ea6cc7f3c157f3584e9c17d8502f33456,True
fhir,fhir/MimicMedicationDispense.ndjson.gz,b0a93fb9f929f09c48f0b996131d6a56fd646d5b9d44d73f9efb3a004b239c52,b0a93fb9f929f09c48f0b996131d6a56fd646d5b9d44d73f9efb3a004b239c52,True
fhir,fhir/MimicMedicationAdministration.ndjson.gz,79c5e5a25c307a23883b6fadc6fcd2b082f7e1e1a2244ffcbce2fd7436a207c9,79c5e5a25c307a23883b6fadc6fcd2b082f7e1e1a2244ffcbce2fd7436a207c9,True
fhir,fhir/MimicMedicationAdministrationICU.ndjson.gz,e42c8a36d5b4f55d00fd2e6cebbb5bd510536efd44343fc25ab0fc7dc622a301,e42c8a36d5b4f55d00fd2e6cebbb5bd510536efd44343fc25ab0fc7dc622a301,True
fhir,fhir/MimicPatient.ndjson.gz,f64c61f64aaed317ddb013276515deaf9ca69815d5c0d70ca372f2a75284ce16,f64c61f64aaed317ddb013276515deaf9ca69815d5c0d70ca372f2a75284ce16,True
fhir,fhir/MimicEncounter.ndjson.gz,01d3583e4c8b9fbfde87baa8a6cf1cc6bf53c1db45c0b64120fcb80c34e6b17b,01d3583e4c8b9fbfde87baa8a6cf1cc6bf53c1db45c0b64120fcb80c34e6b17b,True
fhir,fhir/MimicEncounterICU.ndjson.gz,ce9b1e04dce0806f5c36965e7d4057e46a9cb15b82c551660a2ed81c220ba38d,ce9b1e04dce0806f5c36965e7d4057e46a9cb15b82c551660a2ed81c220ba38d,True
